date,item_id,price,item_count
2021-10-26,67,7.0,5.0
2019-01-08,67,7.0,9.0
2019-01-23,12,4.87,5.0
2020-10-08,15,18.78,0.0
2020-11-03,50,26.37,0.0
2019-01-04,12,4.87,6.0
2021-10-16,6,5.61,0.0
2020-04-09,39,19.03,0.0
2019-01-07,93,12.44,0.0
2019-06-21,35,4.36,0.0
2019-08-19,91,15.46,0.0
2021-12-31,97,28.65,0.0
2019-04-05,54,6.51,0.0
2021-04-23,55,6.63,0.0
2019-09-04,11,19.48,0.0
2020-01-04,27,26.21,0.0
2021-05-12,99,5.32,0.0
2021-07-26,35,4.36,1.0
2019-04-18,33,20.8,0.0
2021-09-03,54,6.51,0.0
2021-03-09,25,6.23,0.0
2020-03-25,1,6.71,0.0
2021-03-27,26,7.55,0.0
2021-02-22,73,5.16,3.0
2019-02-13,55,6.63,0.0
2021-05-20,31,5.62,1.0
2020-05-25,58,13.66,0.0
2020-03-04,45,23.43,2.0
2020-05-22,12,4.87,17.0
2019-03-05,1,6.71,0.0
2020-01-21,42,2.91,0.0
2019-12-27,59,23.37,34.0
2019-02-14,63,3.74,0.0
2020-09-30,39,19.03,0.0
2019-07-26,50,26.37,0.0
2020-07-18,13,4.18,71.0
2021-04-29,9,3.91,114.0
2021-09-10,98,5.0,0.0
2021-09-26,29,2.43,0.0
2019-06-29,29,2.43,0.0
2020-11-18,4,26.42,17.0
2019-08-30,32,3.86,0.0
2021-09-18,14,3.9,0.0
2021-01-31,69,26.04,0.0
2019-10-31,32,3.86,0.0
2021-10-30,70,16.28,0.0
2021-02-24,71,3.98,0.0
2020-06-05,70,16.28,0.0
2019-03-05,23,10.86,3.0
2019-04-27,70,16.28,0.0
2020-10-01,43,7.13,0.0
2021-10-26,33,20.8,0.0
2021-04-05,1,6.71,0.0
2019-04-22,39,19.03,0.0
2020-06-21,51,17.55,0.0
2021-04-14,63,3.74,0.0
2021-04-07,42,2.91,0.0
2020-05-11,99,5.32,0.0
2020-10-09,52,5.68,0.0
2021-08-05,44,5.5,0.0
2020-04-20,50,26.37,0.0
2019-12-01,11,19.48,0.0
2020-07-13,39,19.03,0.0
2020-04-04,100,2.48,0.0
2021-11-13,64,16.09,0.0
2021-09-09,28,15.23,0.0
2021-12-28,32,3.86,0.0
2020-12-10,50,26.37,0.0
